city,state_id,lat,lng,population
Aaronsburg,PA,40.9042,-77.4513,0
Abanda,AL,33.0926,-85.5253,0
Abbeville,GA,31.9925,-83.3068,2761
Abbeville,LA,29.9751,-92.1265,20139
Abbeville,MS,34.5034,-89.5025,430
Abbeville,SC,34.1787,-82.3774,5173
Abbotsford,WI,44.9437,-90.3154,3877
Abbott,AR,35.0734,-94.1938,0
Abbott,NM,36.3056,-104.2589,0
Abbott,TX,31.8874,-97.0805,360
Abbott,VA,37.4293,-80.1395,0
Abbott,WV,38.9218,-80.3215,0
Abbottsburg,NC,34.5171,-78.725,0
Abbottstown,PA,39.8843,-76.9888,1017
Abbyville,KS,37.9704,-98.204,87
Abell,TX,35.3934,-101.4588,0
Abercrombie,ND,46.447,-96.7293,259
Aberdeen,ID,42.9441,-112.8384,1923
Aberdeen,IN,41.4418,-87.1166,0
Aberdeen,KY,37.2539,-86.6817,0
Aberdeen,MD,39.5146,-76.1731,15612
Aberdeen,MS,33.8287,-88.5539,4482
Aberdeen,NC,35.1345,-79.4314,7502
Aberdeen,OH,38.6714,-83.7705,1602
Aberdeen,SD,45.4647,-98.4678,28291
Aberdeen,WA,46.9768,-123.8083,28863
Aberdeen Gardens,WA,47.0587,-123.7792,0
Aberfoil,AL,32.0704,-85.6877,0
Abernant,AL,33.2904,-87.1981,0
Abernathy,TX,33.837,-101.8155,2744
Abeytas,NM,34.4652,-106.8137,0
Abie,NE,41.3339,-96.9494,66
Abilene,KS,38.9229,-97.2247,6667
Abilene,TX,32.4543,-99.7384,115285
Abingdon,IA,41.0822,-92.1391,0
Abingdon,IL,40.8039,-90.4009,3215
Abingdon,MD,39.4623,-76.2791,0
Abingdon,VA,36.7089,-81.9711,8083
Abington,MA,42.1181,-70.959,0
Abington,PA,40.1207,-75.118,0
Abiquiu,NM,36.2017,-106.3239,0
Abita Springs,LA,30.4765,-90.0293,2529
Abo,NM,34.4559,-106.3331,0
Aboite,IN,41.0009,-85.318,0
Abraham,UT,39.3966,-112.718,0
Abram,TX,26.2181,-98.418,0
Abrams,WI,44.7796,-88.0605,0
Absarokee,MT,45.5242,-109.4473,0
Absecon,NJ,39.4221,-74.4941,8295
Academy,SD,43.4564,-99.0798,0
Acampo,CA,38.1735,-121.2798,0
Accident,MD,39.6257,-79.32,316
Accokeek,MD,38.6745,-77.0023,0
Accomac,VA,37.7195,-75.6675,499
Accord,MA,42.1745,-70.8837,0
Accord,NY,41.7972,-74.2319,0
Accoville,WV,37.7653,-81.827,0
Ace,TX,30.5363,-94.8244,0
Aceitunas,PR,18.4456,-67.0668,0
Aceitunas Comunidad,PR,18.4456,-67.0668,0
Acequia,ID,42.6676,-113.5967,127
Achille,OK,33.8347,-96.3901,517
Achilles,VA,37.2801,-76.4402,0
Ackerly,TX,32.5251,-101.7158,233
Ackerman,MS,33.311,-89.1711,1469
Ackermanville,PA,40.835,-75.2226,0
Ackley,IA,42.5519,-93.0528,1546
Ackworth,IA,41.3663,-93.4747,86
Acme,LA,31.2857,-91.8204,0
Acme,NM,33.5923,-104.3286,0
Acme,WA,48.7146,-122.2293,0
Acme,WY,44.9105,-106.9851,0
Acoma,NV,37.5483,-114.1725,0
Acomita,NM,35.0553,-107.5717,0
Acomita Lake,NM,35.066,-107.6171,0
Acorn,VA,38.0193,-76.6491,0
Acra,NY,42.3109,-74.0554,0
Acree,GA,31.5555,-83.996,0
Acres Green,CO,39.5558,-104.8957,0
Acton,CA,34.4956,-118.1858,0
Acton,MT,45.9305,-108.6807,0
Acworth,GA,34.0564,-84.6688,22418
Acy,LA,30.2188,-90.8204,0
Ada,KS,39.1621,-97.886,0
Ada,LA,32.546,-93.1404,0
Ada,MN,47.2991,-96.5166,1629
Ada,OH,40.768,-83.8252,5600
Ada,OK,34.7683,-96.6689,17981
Ada,WI,43.8769,-87.8956,0
Adair,IA,41.5004,-94.6434,716
Adair,IL,40.4183,-90.4974,0
Adair,OK,36.4366,-95.2727,818
Adair Village,OR,44.6708,-123.2158,843
Adairsville,GA,34.3702,-84.9214,4816
Adairville,KY,36.671,-86.8561,876
Adak,AK,51.8768,-176.6359,329
Adams,IN,39.3825,-85.56,0
Adams,KY,38.0545,-82.7077,0
Adams,MA,42.6277,-73.1187,0
Adams,MN,43.5654,-92.7189,778
Adams,MS,32.1599,-90.5607,0
Adams,ND,48.4202,-98.0737,124
Adams,NE,40.4572,-96.5127,607
Adams,NY,43.8102,-76.023,2532
Adams,OK,36.7564,-101.0771,0
Adams,OR,45.7663,-118.5642,347
Adams,TN,36.5824,-87.0628,657
Adams,WI,43.9554,-89.8169,1890
Adams Center,NY,43.8616,-76.0001,0
Adams City,CO,39.8267,-104.9289,0
Adamsburg,PA,40.3124,-79.6542,168
Adamstown,MD,39.3065,-77.4668,0
Adamstown,PA,40.2417,-76.0608,1838
Adamsville,AL,33.6064,-86.9745,4360
Adamsville,OH,40.0689,-81.8826,122
Adamsville,PA,41.5113,-80.3707,0
Adamsville,TN,35.256,-88.3864,2204
Adamsville,TX,31.3013,-98.1689,0
Adamsville,UT,38.2583,-112.7938,0
Adario,OH,40.9345,-82.4502,0
Addicks,TX,29.7825,-95.6424,0
Addie,NC,35.4059,-83.1599,0
Addieville,IL,38.3913,-89.4868,241
Addington,OK,34.2431,-97.9661,108
Addis,LA,30.3652,-91.2659,4873
Addison,AL,34.2017,-87.1765,738
Addison,IL,41.9314,-88.0086,36902
Addison,ME,44.6184,-67.7442,0
Addison,MI,41.9862,-84.3493,593
Addison,NY,42.1063,-77.232,1702
Addison,OH,38.8862,-82.1463,0
Addison,PA,39.7452,-79.3344,201
Addison,TX,32.9587,-96.8356,15368
Addy,WA,48.3588,-117.8372,0
Addyston,OH,39.137,-84.7103,936
Adel,GA,31.1316,-83.4249,7014
Adel,IA,41.6122,-94.0136,3696
Adel,MT,47.0277,-111.6239,0
Adel,OR,42.1774,-119.8986,0
Adelaide,WA,47.3309,-122.3604,0
Adelanto,CA,34.5868,-117.4411,33391
Adeline,IL,42.1405,-89.4919,81
Adelino,NM,34.7066,-106.7304,0
Adell,WI,43.6214,-87.9481,520
Adelphi,MD,39.0018,-76.9648,0
Adelphi,OH,39.4647,-82.7456,373
Adelphia,NJ,40.2182,-74.2563,0
Aden,NM,32.1529,-107.1275,0
Adena,OH,40.2166,-80.8762,725
Adgateville,GA,33.2232,-83.671,0
Adin,CA,41.1964,-120.9494,0
Adjuntas,PR,18.1638,-66.7235,0
Adjuntas Zona Urbana,PR,18.1638,-66.7235,0
Admire,KS,38.6409,-96.1021,155
Adna,WA,46.629,-123.0612,0
Adolphus,KY,36.6517,-86.2614,0
Adona,AR,35.04,-92.899,203
Adrian,GA,32.5306,-82.592,651
Adrian,MI,41.8994,-84.0447,43850
Adrian,MN,43.6333,-95.9334,1223
Adrian,MO,38.396,-94.3498,1618
Adrian,OR,43.7408,-117.0709,172
Adrian,TX,35.2737,-102.6673,167
Advance,IN,39.9954,-86.6204,514
Advance,MI,45.2161,-85.0807,0
Advance,MO,37.1038,-89.9119,1365
Advance,NC,35.9468,-80.4044,0
Adwolf,VA,36.7929,-81.5927,0
Ady,MD,39.6387,-76.3327,0
Ady,TX,35.4856,-102.1324,0
Aeneas,WA,48.5474,-118.9786,0
Aetna,KS,37.0839,-98.9629,0
Affton,MO,38.5493,-90.3256,0
Afton,CA,35.0364,-116.3797,0
Afton,IA,41.0276,-94.1954,832
Afton,MN,44.9042,-92.8173,2991
Afton,NM,32.0729,-106.9442,0
Afton,NY,42.2291,-75.5247,809
Afton,OK,36.6965,-94.9579,1040
Afton,WY,42.7295,-110.9317,1995
Agar,SD,44.8392,-100.0734,81
Agate,CO,39.4617,-103.9422,0
Agate Beach,OR,44.6773,-124.0618,0
Agawam,MA,42.0695,-72.6148,0
Agawam,MT,48.0,-112.1675,0
Agawam,OK,34.8734,-97.9462,0
Agency,IA,40.9975,-92.3072,635
Agency,MO,39.6699,-94.7588,666
Agenda,KS,39.7073,-97.4323,64
Ages,KY,36.8569,-83.2426,0
Agnes,TX,32.9793,-97.7886,0
Agness,OR,42.5565,-124.069,0
Agnew,NE,41.0169,-96.8147,0
Agnos,AR,36.2773,-91.6915,0
Agoura,CA,34.1431,-118.7379,0
Agoura Hills,CA,34.151,-118.7608,20745
Agra,KS,39.7616,-99.1195,244
Agra,OK,35.895,-96.8702,347
Agricola,KS,38.4195,-95.535,0
Agricola,MS,30.8077,-88.52,0
Agua Dulce,CA,34.5044,-118.316,0
Agua Dulce,TX,27.7827,-97.9098,811
Agua Fria,NM,35.6615,-106.0148,0
Agua Nueva,TX,26.9017,-98.6003,0
Aguada,PR,18.3804,-67.1884,0
Aguada Zona Urbana,PR,18.3804,-67.1884,0
Aguadilla,PR,18.4382,-67.1536,0
Aguadilla Zona Urbana,PR,18.4382,-67.1536,0
Aguanga,CA,33.4522,-116.8555,0
Aguas Buenas,PR,18.2573,-66.1063,0
Aguas Buenas Zona Urbana,PR,18.2573,-66.1063,0
Aguas Claras,PR,18.2447,-65.6662,0
Aguas Claras Comunidad,PR,18.2447,-65.6662,0
Agudo,NM,34.4053,-104.3036,0
Aguila,AZ,33.9376,-113.1665,0
Aguilar,CO,37.4036,-104.655,473
Aguilares,TX,27.4516,-99.0933,0
Aguilita,PR,18.0284,-66.533,0
